id,doc_name,page,chunk_id,chunk_text,question,answer,qa_type,difficulty,source_model,gen_meta
13d5b288-8cf1-45fc-a677-5e048c8a326d,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,现场应急领导小组的组长由谁担任？,列车长,role,easy,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
5ef20a44-a2dd-4089-9999-d7d0c35173a6,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,灭火组的组长是谁？,列车长,role,easy,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
948ac8bc-6f46-47d0-a679-9df935a6fc1a,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,救护组的组长由谁担任？,机械师,role,easy,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
67233268-0283-4357-8fb3-1f7657133309,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,现场保护组的组长是谁？,乘警,role,easy,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
9a9d44d0-085b-4a6f-8c93-0d824cf90b05,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,灭火组的组员包括哪些人员？,列车员、餐服人员,role,easy,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
4d3a59b9-957e-4c81-82fb-06a2c6abea0f,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,救护组的职责是什么？,负责疏散旅客、抢救伤员、抢救物资,role,medium,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
8e76f996-122c-4d1e-90d9-b16386f6e82b,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,现场保护组的职责包括哪些？,负责现场保护、稳定旅客，维持秩序、调查取证,role,medium,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
74e5a5bf-6c6f-4da8-afd4-821a7ba51566,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,灭火组的职责是什么？,负责灭火，控制火势，传递灭火器材,role,medium,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
2495b548-339e-4681-ae76-86f1c797f253,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,高铁乘务人员发现火灾爆炸事故后，第一步应该做什么？,在第一时间赶往事故地点，查看现场并判明情况,procedure,medium,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
13f344f0-5573-428e-8d8e-a2ab19faaba9,Emergency_Plan.pdf,1,p1_c0,高铁事故应急预案 1.现场应急组织。 现场应急领导小组由列车长任组长，乘警、机械师任副 组长，全面负责应急预案的启动实施，按职责分工下设三个 工作小组： 1.1 灭火组：由列车长任组长，列车员、餐服人员为组 员，负责灭火，控制火势，传递灭火器材。 1.2 救护组：由机械师任组长，随车乘服人员为组员， 负责疏散旅客、抢救伤员、抢救物资。 1.3 现场保护组：由乘警任组长，随车乘服人员为组员， 负责现场保护、稳定旅客，维持秩序、调查取证。 2.应急处置程序。 高铁组乘务人员发现火灾爆炸事故或接到火灾爆炸事 故报告、火警报警装置报警后，应在第一时间赶往事故地点， 查看现场并判明情况、立即启动应急处置预案，全体乘务人 员在列车长的指挥下采取果断正确的处置措施进行紧急处 置，并将情况向段派班室及车队汇报。 2.1 发生初始火灾的应急程序。,启动应急处置预案后，全体乘务人员应在谁的指挥下行动？,列车长,role,easy,deepseek-chat,"{""prompt_version"": ""v1_xml_items"", ""temperature"": 0.5, ""max_tokens"": 1600, ""attempt"": 0, ""created"": 1766067850}"
